DATE,USA,CAN,GBR,FRA,DEU
1960-01-01,4.49,5.46,5.44,5.79,6.43
1960-04-01,4.26,5.19,5.8,5.76,6.47
1960-07-01,3.83,4.95,6.05,5.58,6.57
1960-10-01,3.89,5.15,6.14,5.52,6.23
1961-01-01,3.79,5.19,6.07,5.59,6
1961-04-01,3.79,5.14,6.15,5.49,5.63
1961-07-01,3.98,4.97,6.64,5.44,5.87
1961-10-01,3.97,4.93,6.19,5.55,6
1962-01-01,4.02,4.93,6.25,5.59,5.73
1962-04-01,3.87,4.94,6.25,5.47,5.77
1962-07-01,3.99,5.4,5.44,5.34,5.97
1962-10-01,3.9,5.12,5.12,5.34,6.17
1963-01-01,3.89,5.11,5.37,5.35,6
1963-04-01,3.96,4.97,5.18,5.31,6.07
1963-07-01,4.03,5.17,4.97,5.3,6.1
1963-10-01,4.12,5.12,5.14,5.39,6.03
1964-01-01,4.18,5.19,5.39,5.44,5.93
1964-04-01,4.2,5.21,5.56,5.47,6.27
1964-07-01,4.19,5.22,5.76,5.42,6.33
1964-10-01,4.17,5.11,6.1,5.47,6.4
1965-01-01,4.2,5.02,6.41,6.02,6.47
1965-04-01,4.21,5.09,6.67,6.29,6.87
1965-07-01,4.25,5.28,6.65,6.18,7.3
1965-10-01,4.47,5.4,6.48,6.32,7.57
1966-01-01,4.77,5.53,6.57,6.37,7.63
1966-04-01,4.78,5.61,6.82,6.53,8.2
1966-07-01,5.14,5.8,7.28,6.66,8.57
1966-10-01,5,5.8,6.8,6.76,8.1
1967-01-01,4.58,5.56,6.47,6.72,7.37
1967-04-01,4.82,5.69,6.48,6.7,6.9
1967-07-01,5.25,5.94,6.75,6.67,6.8
1967-10-01,5.64,6.4,7.1,6.74,6.77
1968-01-01,5.61,6.69,7.29,6.77,6.7
1968-04-01,5.74,6.72,7.41,6.91,6.47
1968-07-01,5.46,6.52,7.58,6.92,6.33
1968-10-01,5.77,6.97,7.75,7.2,6.3
1969-01-01,6.18,7.21,8.44,7.84,6.33
1969-04-01,6.35,7.39,8.97,8.13,6.57
1969-07-01,6.86,7.59,9.02,8.21,7
1969-10-01,7.3,8.05,8.89,8.53,7.47
1970-01-01,7.37,8.2,8.7,8.78,7.83
1970-04-01,7.71,8.04,8.73,8.6,8.4
1970-07-01,7.46,7.96,8.42,8.44,8.53
1970-10-01,6.85,7.66,8.68,8.38,8.5
1971-01-01,6.02,6.77,8.58,8.38,7.77
1971-04-01,6.25,7.09,8.15,8.45,8.03
1971-07-01,6.48,7.25,7.62,8.46,8.23
1971-10-01,5.89,6.67,7.13,8.4,7.93
1972-01-01,6.03,6.87,7.16,8.27,7.43
1972-04-01,6.14,7.35,8.08,7.88,7.8
1972-07-01,6.29,7.47,9.08,7.83,7.93
1972-10-01,6.37,7.21,9.18,8.07,8.33
1973-01-01,6.6,7.2,9.43,8.41,8.6
1973-04-01,6.81,7.56,9.76,8.73,9.3
1973-07-01,7.21,7.79,11.04,9.3,9.77
1973-10-01,6.75,7.56,12,9.55,9.57
1974-01-01,7.05,7.8,13.32,10.46,10
1974-04-01,7.54,8.91,13.65,10.98,10.57
1974-07-01,7.96,9.72,14.29,11.39,10.8
1974-10-01,7.67,9.06,15.56,11.17,10.4
1975-01-01,7.54,8.29,13.55,10.64,9.07
1975-04-01,8.05,8.78,12.84,10.29,8.6
1975-07-01,8.3,9.39,12.76,10.14,8.5
1975-10-01,8.06,9.51,13.58,10.17,8.53
1976-01-01,7.75,9.38,12.44,10.2,8.13
1976-04-01,7.77,9.33,12.76,10.27,8.07
1976-07-01,7.73,9.27,13.8,10.59,8.27
1976-10-01,7.19,8.94,15.43,10.98,7.67
1977-01-01,7.35,8.61,13.28,10.75,7.13
1977-04-01,7.37,8.78,12.19,11.14,6.57
1977-07-01,7.36,8.65,12.06,11.01,6.27
1977-10-01,7.6,8.73,10.58,11.06,6.17
1978-01-01,8.01,9.08,10.73,11.23,5.8
1978-04-01,8.32,9.21,12.22,10.7,5.87
1978-07-01,8.49,9.16,12.33,10.42,6.3
1978-10-01,8.82,9.49,12.98,10.1,6.57
1979-01-01,9.11,9.89,13.21,9.7,7.03
1979-04-01,9.11,9.75,11.9,10.1,7.7
1979-07-01,9.1,10.02,12.39,11.49,7.67
1979-10-01,10.45,11.06,14.29,12.09,7.87
1980-01-01,11.99,12.51,14.69,13.69,8.6
1980-04-01,10.48,11.75,14.1,13.59,8.6
1980-07-01,10.95,12.19,13.42,13.58,7.93
1980-10-01,12.42,12.91,13.44,14.27,8.57
1981-01-01,12.96,13.16,13.82,14.87,9.67
1981-04-01,13.75,14.78,14.25,16.51,10.33
1981-07-01,14.85,16.45,15.44,17.07,10.6
1981-10-01,14.09,15.56,16.02,16.71,9.93
1982-01-01,14.29,15.48,15.01,16.35,9.63
1982-04-01,13.93,15.2,13.95,16.13,8.9
1982-07-01,13.12,15.02,12.36,15.84,8.97
1982-10-01,10.67,12.05,11.02,15.67,8.13
1983-01-01,10.56,11.33,11.68,14.85,7.73
1983-04-01,10.54,10.94,11.07,14.54,7.9
1983-07-01,11.63,11.71,11.5,14.01,8.37
1983-10-01,11.69,11.62,10.82,14.08,8.33
1984-01-01,11.94,12.14,10.77,13.87,8.23
1984-04-01,13.2,13.52,11.27,13.87,8.17
1984-07-01,12.87,13.14,11.57,13.51,8.03
1984-10-01,11.74,12.04,10.9,12.36,7.4
1985-01-01,11.58,11.81,11.39,12.21,7.53
1985-04-01,10.81,11.05,11.11,11.94,7.23
1985-07-01,10.34,10.66,10.71,11.93,6.7
1985-10-01,9.76,10.14,10.66,11.38,6.7
1986-01-01,8.56,9.8,10.52,10.06,6.33
1986-04-01,7.6,8.97,9.18,8.6,6
1986-07-01,7.31,8.9,9.85,8.37,6
1986-10-01,7.26,8.91,10.99,9.45,6.3
1987-01-01,7.19,8.36,9.78,8.92,6.07
1987-04-01,8.34,9.25,8.96,8.93,5.83
1987-07-01,8.88,10.13,9.88,9.8,6.5
1987-10-01,9.12,10.15,9.67,10.26,6.6
1988-01-01,8.42,9.45,9.48,9.41,6.33
1988-04-01,8.91,9.78,9.37,9.13,6.5
1988-07-01,9.1,10.1,9.95,9.05,6.7
1988-10-01,8.96,10,9.9,8.74,6.43
1989-01-01,9.21,10.3,9.85,8.9,6.87
1989-04-01,8.77,9.89,10.3,8.78,6.97
1989-07-01,8.11,9.4,10.09,8.51,6.87
1989-10-01,7.91,9.54,10.52,9,7.4
1990-01-01,8.42,10.23,11.55,9.86,8.23
1990-04-01,8.68,11.14,12.32,9.64,8.73
1990-07-01,8.7,10.7,12.03,10.06,8.87
1990-10-01,8.4,10.76,11.32,10.17,9
1991-01-01,8.02,9.84,10.34,9.33,8.57
1991-04-01,8.13,9.63,10.38,8.96,8.4
1991-07-01,7.94,9.79,9.98,9.04,8.57
1991-10-01,7.35,8.76,9.72,8.81,8.3
1992-01-01,7.3,8.37,9.48,8.53,7.97
1992-04-01,7.38,8.58,9.19,8.67,8.07
1992-07-01,6.62,7.54,9.2,8.9,7.97
1992-10-01,6.74,7.79,8.39,8.25,7.4
1993-01-01,6.28,7.74,7.99,7.67,6.93
1993-04-01,5.99,7.5,8,7.09,6.77
1993-07-01,5.62,7.05,7.22,6.4,6.4
1993-10-01,5.61,6.8,6.72,5.93,5.97
1994-01-01,6.07,6.77,6.85,5.99,6.07
1994-04-01,7.08,8.39,8.28,7.05,6.77
1994-07-01,7.33,9,8.69,7.7,7.17
1994-10-01,7.84,9.08,8.67,8.12,7.5
1995-01-01,7.48,8.96,8.66,8.09,7.43
1995-04-01,6.62,8.11,8.24,7.6,6.93
1995-07-01,6.32,8.09,8.11,7.37,6.73
1995-10-01,5.89,7.48,7.79,7.09,6.33
1996-01-01,5.91,7.32,7.75,6.56,6.17
1996-04-01,6.72,7.76,8.07,6.5,6.5
1996-07-01,6.78,7.45,7.85,6.34,6.33
1996-10-01,6.34,6.39,7.57,5.85,5.9
1997-01-01,6.56,6.49,7.4,5.6,5.7
1997-04-01,6.7,6.54,7.32,5.71,5.8
1997-07-01,6.24,5.94,6.99,5.52,5.63
1997-10-01,5.91,5.59,6.5,5.49,5.5
1998-01-01,5.59,5.41,6.05,5.03,5
1998-04-01,5.6,5.34,5.82,4.94,4.9
1998-07-01,5.2,5.39,5.52,4.5,4.4
1998-10-01,4.67,4.98,4.82,4.09,4.03
1999-01-01,4.98,5.1,4.46,3.94,3.86
1999-04-01,5.54,5.32,4.89,4.2,4.07
1999-07-01,5.88,5.66,5.5,5,4.87
1999-10-01,6.14,6.09,5.53,5.28,5.16
2000-01-01,6.48,6.29,5.61,5.57,5.46
2000-04-01,6.18,6.01,5.31,5.38,5.26
2000-07-01,5.89,5.79,5.32,5.39,5.25
2000-10-01,5.57,5.62,5.08,5.23,5.08
2001-01-01,5.05,5.38,4.79,4.9,4.75
2001-04-01,5.27,5.72,5.09,5.12,4.96
2001-07-01,4.98,5.54,5.06,5.01,4.88
2001-10-01,4.77,5.27,4.78,4.72,4.6
2002-01-01,5.08,5.44,5.02,5.05,4.98
2002-04-01,5.1,5.56,5.2,5.2,5.11
2002-07-01,4.26,5.1,4.75,4.7,4.61
2002-10-01,4.01,5.06,4.61,4.49,4.42
2003-01-01,3.92,4.99,4.31,4.11,4.04
2003-04-01,3.62,4.67,4.27,3.93,3.86
2003-07-01,4.23,4.78,4.57,4.13,4.09
2003-10-01,4.29,4.8,4.96,4.34,4.29
2004-01-01,4.02,4.43,4.77,4.11,4.06
2004-04-01,4.6,4.77,5.09,4.3,4.22
2004-07-01,4.3,4.66,5.01,4.16,4.11
2004-10-01,4.17,4.45,4.66,3.83,3.75
2005-01-01,4.3,4.28,4.64,3.64,3.6
2005-04-01,4.16,4.03,4.44,3.37,3.3
2005-07-01,4.21,3.9,4.28,3.23,3.17
2005-10-01,4.49,4.07,4.29,3.39,3.34
2006-01-01,4.57,4.13,4.18,3.51,3.48
2006-04-01,5.07,4.42,4.61,3.99,3.94
2006-07-01,4.9,4.25,4.62,3.9,3.88
2006-10-01,4.63,4.03,4.6,3.79,3.76
2007-01-01,4.68,4.1,4.86,4.06,4
2007-04-01,4.85,4.36,5.21,4.39,4.33
2007-07-01,4.73,4.46,5.18,4.44,4.34
2007-10-01,4.26,4.17,4.79,4.33,4.19
2008-01-01,3.66,3.73,4.52,4.08,3.93
2008-04-01,3.89,3.67,4.91,4.47,4.25
2008-07-01,3.86,3.63,4.78,4.48,4.26
2008-10-01,3.25,3.4,4.15,3.9,3.5
2009-01-01,2.74,2.89,3.54,3.64,3.07
2009-04-01,3.31,3.2,3.58,3.79,3.32
2009-07-01,3.52,3.42,3.73,3.64,3.3
2009-10-01,3.46,3.41,3.74,3.53,3.19
2010-01-01,3.72,3.47,4.05,3.49,3.18
2010-04-01,3.49,3.47,3.83,3.18,2.78
2010-07-01,2.79,3.01,3.29,2.78,2.42
2010-10-01,2.86,3,3.33,3.02,2.6
2011-01-01,3.46,3.31,3.78,3.55,3.14
2011-04-01,3.21,3.16,3.56,3.54,3.1
2011-07-01,2.43,2.53,2.86,3.01,2.26
2011-10-01,2.05,2.14,2.33,3.19,1.93
2012-01-01,2.04,2.04,2.22,3.05,1.83
2012-04-01,1.82,1.91,1.97,2.77,1.42
2012-07-01,1.64,1.78,1.68,2.21,1.36
2012-10-01,1.71,1.77,1.8,2.11,1.37
2013-01-01,1.95,1.92,2.08,2.16,1.47
2013-04-01,2,1.96,2.01,1.96,1.34
2013-07-01,2.71,2.58,2.67,2.37,1.73
2013-10-01,2.75,2.58,2.8,2.33,1.75
2014-01-01,2.76,2.47,2.83,2.26,1.61
2014-04-01,2.62,2.35,2.74,1.86,1.35
2014-07-01,2.5,2.14,2.58,1.44,0.99
2014-10-01,2.28,1.95,2.11,1.11,0.7
2015-01-01,1.97,1.44,1.71,0.59,0.31
2015-04-01,2.17,1.64,1.98,0.84,0.49
2015-07-01,2.22,1.48,2,1.04,0.66
2015-10-01,2.19,1.52,1.92,0.89,0.53
2016-01-01,1.92,1.22,1.61,0.65,0.26
2016-04-01,1.75,1.29,1.47,0.47,0.08
2016-07-01,1.56,1.06,0.84,0.17,-0.12
2016-10-01,2.13,1.44,1.3,0.58,0.15
2017-01-01,2.44,1.71,1.31,0.97,0.29
